t,gt_x,gt_y,gt_z,fused_x,fused_y,fused_z,err_3d,quality
16.45,-0.725129,1.86392,18.225,-0.861456,1.78443,18.3068,0.177768,1
16.5,-0.771496,1.84521,18.25,-0.944941,1.74865,18.512,0.328693,1
16.55,-0.81738,1.82535,18.275,-0.818149,1.76295,18.2851,0.0632083,1
16.6,-0.862754,1.80434,18.3,-0.836784,1.75207,18.1138,0.195154,1
16.65,-0.907588,1.78221,18.325,-1.02804,1.72946,18.2857,0.137244,1
16.7,-0.951855,1.75897,18.35,-1.08442,1.7002,18.4188,0.160514,1
16.75,-0.995527,1.73463,18.375,-1.08442,1.7002,18.4188,0.10492,1
16.8,-1.03858,1.7092,18.4,-1.01368,1.66899,18.6473,0.251788,1
16.85,-1.08098,1.6827,18.425,-0.861277,1.54623,18.5076,0.271523,1
16.9,-1.1227,1.65515,18.45,-1.01983,1.57152,18.5003,0.141806,1
16.95,-1.16373,1.62657,18.475,-1.05314,1.54177,18.5243,0.147837,1
17,-1.20402,1.59697,18.5,-1.09287,1.50468,18.6533,0.210643,1
17.05,-1.24357,1.56638,18.525,-1.1992,1.65257,18.5319,0.0971913,1
17.1,-1.28233,1.5348,18.55,-1.23697,1.62405,18.4283,0.15761,1
17.15,-1.3203,1.50227,18.575,-1.22629,1.52239,18.6303,0.110914,1
17.2,-1.35744,1.46879,18.6,-1.26395,1.48623,18.772,0.196563,1
17.25,-1.39373,1.4344,18.625,-1.2318,1.61509,18.5222,0.263523,1
17.3,-1.42915,1.39911,18.65,-1.46974,1.40547,18.5604,0.0986046,1
17.35,-1.46368,1.36295,18.675,-1.50441,1.37193,18.5807,0.10314,1
17.4,-1.49729,1.32594,18.7,-1.54588,1.32994,18.6287,0.0863947,1
17.45,-1.52997,1.2881,18.725,-1.46434,1.40815,18.67,0.147476,1
17.5,-1.56169,1.24945,18.75,-1.49427,1.37329,18.6035,0.203322,1
17.55,-1.59244,1.21002,18.775,-1.5168,1.31031,18.6996,0.146488,1
17.6,-1.62219,1.16983,18.8,-1.53982,1.28131,18.8943,0.167653,1
17.65,-1.65092,1.12892,18.825,-1.66108,1.09878,18.7086,0.120702,1
17.7,-1.67863,1.0873,18.85,-1.6943,1.04894,18.7816,0.0800013,1
17.75,-1.70528,1.045,18.875,-1.72969,1.07203,18.796,0.0869903,1
17.8,-1.73087,1.00204,18.9,-1.68918,0.984495,18.8668,0.0561318,1
17.85,-1.75538,0.958461,18.925,-1.68918,0.984495,18.8668,0.0919327,1
17.9,-1.77879,0.914282,18.95,-1.68918,0.984495,18.8668,0.141025,1
17.95,-1.80109,0.869531,18.975,-1.80014,0.938987,18.9121,0.0936846,1
18,-1.82226,0.824237,19,-1.82482,0.890449,18.8964,0.123008,1
18.05,-1.84229,0.778428,19.025,-1.89546,0.965735,19.083,0.203152,1
18.1,-1.86118,0.732132,19.05,-1.91792,0.926314,19.0526,0.20232,1
18.15,-1.8789,0.685378,19.075,-2.09194,0.760567,19.065,0.22614,1
18.2,-1.89544,0.638197,19.1,-2.12254,0.708907,18.8611,0.337128,1
18.25,-1.9108,0.590616,19.125,-1.89555,0.583077,18.988,0.138057,1
18.3,-1.92497,0.542666,19.15,-1.90867,0.531519,18.9861,0.165126,1
18.35,-1.93793,0.494378,19.175,-1.99831,0.508849,19.0487,0.140716,1
18.4,-1.94969,0.44578,19.2,-2.01312,0.457974,19.113,0.108366,1
18.45,-1.96022,0.396903,19.225,-1.97567,0.338463,19.133,0.110086,1
18.5,-1.96953,0.347779,19.25,-1.99124,0.25409,19.2496,0.0961714,1
18.55,-1.97761,0.298437,19.275,-2.05331,0.380977,19.1964,0.136808,1
18.6,-1.98445,0.248909,19.3,-2.06374,0.333411,19.2323,0.134211,1
18.65,-1.99005,0.199225,19.325,-2.17293,0.376161,19.2059,0.28097,1
18.7,-1.99441,0.149417,19.35,-2.1932,0.309293,19.0771,0.373565,1
18.75,-1.99752,0.0995148,19.375,-2.18864,0.0304427,19.3384,0.206475,1
18.8,-1.99939,0.0495509,19.4,-2.19882,-0.0262682,19.2933,0.238533,1
18.85,-2,-0.000444078,19.425,-2.05656,0.0108541,19.4237,0.057688,1
18.9,-1.99936,-0.0504387,19.45,-2.05724,-0.0467358,19.4666,0.0603325,1
18.95,-1.99748,-0.100402,19.475,-1.99248,-0.104825,19.5083,0.0339356,1
19,-1.99434,-0.150302,19.5,-1.98702,-0.158015,19.4252,0.0755857,1
19.05,-1.98996,-0.200109,19.525,-2.0296,-0.242278,19.5775,0.07812,1
19.1,-1.98434,-0.24979,19.55,-2.02413,-0.296694,19.5644,0.0631622,1
19.15,-1.97748,-0.299315,19.575,-1.98119,-0.331189,19.5638,0.0340015,1
19.2,-1.96938,-0.348654,19.6,-1.93431,-0.322139,19.7565,0.162533,1
19.25,-1.96004,-0.397774,19.625,-1.92676,-0.351907,19.7748,0.16018,1
19.3,-1.94949,-0.446646,19.65,-1.90738,-0.421125,19.8484,0.204413,1
19.35,-1.93771,-0.495238,19.675,-1.96299,-0.494879,19.6945,0.0319369,1
19.4,-1.92473,-0.543521,19.7,-1.95113,-0.539927,19.7696,0.0745374,1
19.45,-1.91054,-0.591465,19.725,-1.8791,-0.618063,19.8478,0.129565,1
19.5,-1.89516,-0.639038,19.75,-1.85834,-0.674387,19.7521,0.0510826,1
19.55,-1.87859,-0.686213,19.775,-1.91444,-0.647717,19.6747,0.113242,1
19.6,-1.86085,-0.732958,19.8,-1.89517,-0.699134,19.6847,0.124919,1
19.65,-1.84195,-0.779246,19.825,-1.98925,-0.805272,19.8627,0.154253,1
19.7,-1.82189,-0.825046,19.85,-1.97392,-0.859315,19.8939,0.161905,1
19.75,-1.8007,-0.870331,19.875,-1.72791,-1.00474,19.8466,0.155465,1
19.8,-1.77838,-0.915072,19.9,-1.69716,-1.06346,19.9873,0.190365,1
19.85,-1.75495,-0.959241,19.925,-1.69019,-1.06447,19.989,0.139136,1
19.9,-1.73043,-1.00281,19.95,-1.65743,-1.11968,19.9382,0.138302,1
19.95,-1.70482,-1.04575,19.975,-1.60885,-0.848778,20.0126,0.222319,1
20,-1.67814,-1.08804,20,-1.57255,-0.885181,20.0752,0.240732,1
